,Unnamed: 0,timestamp,thrustinput,Position state,Position state2,PA-ON,PA-ON2,Airspeed[m/s],Differential Pressure[Pa],GPS Altitude[m],GPS Noise Magitude/ms,GPS Satellite Num.,Horizontal accuracy[m],Vertical accuracy[m],Groundspeed[m/s],Roll control,Pitch control,Yaw control,Thrust control,Roll Angular Rate[deg/s],Pitch Angular Rate[deg/s],Yaw Angular Rate[deg/s],Roll angle[deg],Pitch angle[deg],Yaw angle[deg],Local X[m],Local Y[m],X-velocity[m/s],Y-Velocity[m/s],Z-Velocity[m/s],altitude set position,altitude(Tecs),airspeed set position,airspeed(Tecs),X-acceleration[m/s^2],Y-acceleration[m/s^2],Z-acceleration[m/s^2],Battery Voltage[V],Battery Current[A],Inst. power[Ws],Body_Uvelocity[m/s],Body_Vvelocity[m/s],Body_Wvelocity[m/s],A.O.A.[deg]
8017,8017,0.0,0.0,2500.0,-2500.0,2500.0,-2500.0,11.302088844881409,78.23904413536981,90.03360984903924,104.0,12.0,1.3729491345626583,1.5379491003799008,8.138440508848143,-0.5496898018918168,-0.038112329565803627,-0.09170437188552656,0.28219584473447284,-0.03392712118178344,0.18821415970721173,0.4189904327158245,8.528904399152955,4.811379764545651,9.01119057940311,-306.91784891504307,52.287617757309725,8.534956541698334,0.1726377800115153,1.6746328533258437,166.2518,169.98900772515492,6.230076015512531,9.943865262895438,-1.777824559856623,-0.06977017622095533,-13.073108582891068,15.267738595653418,1.5574729000000002e-19,2.377908910701426e-18,8.286395433052434,-0.8095077894524997,2.449566275198209,16.468364733803867
8018,8018,0.09671900000000733,0.0,2500.0,-2500.0,2500.0,-2500.0,11.06743402249575,75.02420970129361,90.18642710666828,104.0,11.864778528253845,1.3756762073587308,1.540946636780076,8.09600724493977,-0.4961606593221771,-0.013086597009010771,-0.09163214061575027,0.25744804019889794,-0.23668911826009176,0.3508635055170522,0.3541261712569481,7.929327333061357,6.0109978410899965,11.346810747806547,-306.0837175691878,52.371784982583634,8.515931521743406,0.4925923804072656,1.772947025253295,166.2518,170.15566849387668,6.023942989362593,10.315734623844307,2.5093419744530943,3.5192361262366303,-11.8254673747895,15.280177706456234,1.5574729000000002e-19,2.3798462684989743e-18,8.214295638285256,-0.8207107375103879,2.7472657462404872,18.49247771386402
8019,8019,0.19058399999983067,0.0,2500.0,-2500.0,2500.0,-2500.0,10.529251114809039,67.90497815273422,90.34218636277046,104.0,11.374831664770232,1.3781259416761489,1.5443762158297751,8.443869518013136,-0.25790437213362594,-0.06930111933683468,-0.12584670019861582,0.2424548004719006,-0.5565289239948612,0.4044509723515191,0.3895003275104881,6.2992350172547225,7.566107544743748,13.281380335475426,-305.2908419940272,52.490490999999984,8.453117631518504,0.7864505562301438,2.0127669393061858,166.2518,170.32687263692497,6.000172368328023,10.504560631970751,0.6916061447356334,-1.2461820084530268,-12.424662162608488,15.293282912379887,1.5574729000000002e-19,2.3818873688064757e-18,8.069479144675004,-0.8259187383594659,3.238471062216962,21.866747786868032
8020,8020,0.2868929999997363,0.0,2500.0,-2500.0,2500.0,-2500.0,9.963424637804902,60.802782893149185,90.516706044178,104.0,10.882217190001606,1.3810601335117043,1.5481778280999838,8.660531219800676,-0.2445306881588105,-0.12095390982887888,-0.1224718107796149,0.23372236817619135,0.2152526447143409,0.2463897144751272,0.16990067143510465,5.918146462413191,8.972675386109508,14.898397175983277,-304.484494749514,52.64108728515754,8.343456064064933,1.050751965914962,2.2837516699907723,166.2518,170.50675925251917,6.0000078359753335,10.496702554369065,1.3532668938773615,1.7661349443659142,-12.143325166849882,15.309411364369199,1.5574729000000002e-19,2.3843993314957054e-18,7.874975129753686,-0.7493011714000875,3.712713865624192,25.241872124296908
8021,8021,0.4065469999998186,0.0,2500.0,-2500.0,2500.0,-2500.0,9.626423091098797,56.75917672061946,90.7925591585817,104.0,10.306938214266964,1.3862375867654186,1.5539306178573302,8.418914049992125,-0.3315721066268328,-0.17625258496854027,-0.10795791678787256,0.22919052469449716,0.3289112469653685,0.20551954319589827,0.1709863699401156,7.831076223627647,10.374844641441703,16.221029175924038,-303.49677491782995,52.849637743228996,8.145243037673527,1.3730661023116515,2.7087447534480056,166.2518,170.7699179629074,6.0,10.309649323235401,1.028152902108226,-0.5792194617766113,-14.172061674274971,15.329449302613062,1.5574729000000002e-19,2.387520186074374e-18,7.582598328695737,-0.3769113894932401,4.275693725906886,29.417886014985946
8022,8022,0.5053090000000111,0.0,2500.0,-2500.0,2500.0,-2500.0,9.4427669710674,54.614081448286036,91.04785530793808,104.0,10.0,1.3907424605313077,1.5585682319027825,8.241559597229639,-0.4630340382126486,-0.19366381992598594,-0.0961032758865568,0.2272703040984196,0.6405434753121033,0.03060554107682485,0.10113017375316803,11.332499056609574,10.820452130054063,17.089062123425325,-302.70611914660185,53.053422852358715,7.937320248166724,1.7329793292222917,3.1835926413650406,166.2518,171.03225429854783,6.0,10.104805181314449,2.457149448418689,-1.3427147237330317,-14.74384026709107,15.343883295295756,1.5574729000000002e-19,2.389768241318584e-18,7.354521476576138,0.2491665611618445,4.683195248019082,32.48807497590272
8023,8023,0.6005559999999832,0.0,2500.0,-2500.0,2500.0,-2500.0,9.426906134797546,54.430773931930545,91.33832940631432,104.0,10.0,1.3954950202582683,1.5628455831826442,8.10943843682014,-0.4987172134236339,-0.17324952107034794,-0.08236479027094999,0.2242920077594898,0.10944463509773487,-0.16208495454997882,-0.0019321268996015915,13.563821004754242,10.393920551047382,17.39457758603648,-301.9673895926128,53.27702929816478,7.723284498256898,2.114126085995057,3.5280580785848623,166.2518,171.32293018483875,6.0,9.902177257826322,0.940355294460674,3.1932065554068045,-13.509222493787927,15.354985877753485,1.5574729000000002e-19,2.3914974384483768e-18,7.23428364789768,0.8657869712901985,4.82939133390428,33.72588776949081
8024,8024,0.69681700000001,0.0,2500.0,-2500.0,2500.0,-2500.0,9.467528740918153,54.900888224241065,91.63532766023631,104.0,10.0,1.4002917560374972,1.567033504829998,8.029051179694962,-0.40022365430098256,-0.14744435765442213,-0.08568747299265682,0.21501243029604453,-0.5175072380096872,-0.2334009194193061,-0.04187946139035307,11.806969839093073,9.224596309888776,16.896497342439964,-301.24453222976365,53.542370471842844,7.5238346926564015,2.440819888935517,3.6740408799850446,166.2518,171.63319705847158,6.0,9.720757706246149,0.7395813958139336,0.0008292437384094242,-10.372754126020128,15.366206658355116,1.5574729000000002e-19,2.393245044618766e-18,7.217207248282978,1.1482205907223837,4.766902134924424,33.44441231510181
8025,8025,0.8076409999999896,0.0,2500.0,-2500.0,2500.0,-2500.0,9.679740110000935,57.38967863728853,91.98664537699699,104.0,10.0,1.4057942187003492,1.5714354749602797,8.101683686844611,-0.4397063605517961,-0.15985952985616872,-0.06414621884390688,0.2027046558565472,-0.4933793624442205,-0.013414934058934435,-0.005848469272790445,8.550862008606941,8.385901975470002,16.734205587175552,-300.43653980458464,53.87643122714582,7.330378830771045,2.6940313201155983,3.499964756678331,166.2518,171.98669069395118,6.0,9.575927715915311,-0.281278434163724,0.9054500863229116,-6.436893909037717,15.378796750502147,1.5574729000000002e-19,2.3952059173515163e-18,7.201858983106737,1.1481518384064011,4.479890096383814,31.883526954439546
8026,8026,0.899185999999986,0.0,2500.0,-2500.0,2500.0,-2500.0,9.781053785734628,58.597281270416616,92.25625879288141,104.0,10.0,1.4104981860753223,1.5752258774636505,8.131061374081186,-0.5024069159028716,-0.20338721160437528,-0.0601268319951261,0.19535553111984424,-0.4658145340033107,0.14593378575957602,0.06788113052343582,5.9740933963073175,8.693028122944929,16.98904999001942,-299.7797813791575,54.16918055285598,7.1905987098939415,2.828418640280152,3.2055168077623204,166.2518,172.24605844500184,6.0,9.504879217689506,0.0005106639883327159,0.5686745269466247,-6.221058307786157,15.388780327676615,1.5574729000000002e-19,2.3967608324409456e-18,7.130261903829298,1.0480061200848765,4.218147120176049,30.607869633015515
