,Min_airspeed1_OFF,Min_airspeed2_OFF,Min_airspeedave_OFF,Min_airspeedave_err_OFF,Max_pitchangle1_OFF,Max_pitchangle2_OFF,Max_pitchangleave_OFF,Max_pitchangleave_err_OFF,timeMin_airspeed1_OFF,timeMin_airspeed2_OFF,timeMax_pitchangle1_OFF,timeMax_pitchangle2_OFF,time_fin_OFF,Airspeed_fin_OFF,Pitchangle_fin_OFF,Min_airspeed1_ON,Min_airspeed2_ON,Min_airspeedave_ON,Min_airspeedave_err_ON,Max_pitchangle1_ON,Max_pitchangle2_ON,Max_pitchangleave_ON,Max_pitchangleave_err_ON,timeMin_airspeed1_ON,timeMin_airspeed2_ON,timeMax_pitchangle1_ON,timeMax_pitchangle2_ON,time_fin_ON,Airspeed_fin_ON,Pitchangle_fin_ON,casename
20190126-2-1,5.7524647073754025,6.373271967126487,6.062868337250945,0.3104036298755424,16.36388796280017,11.806794804476015,14.085341383638092,2.278546579162078,54.828899000000064,60.71280600000003,60.71280600000003,54.828899000000064,92.82118200000002,6.9200121121945175,12.259948951934895,6.1588417029606655,8.902698756589864,7.530770229775264,1.371928526814599,16.966119346561772,13.036878761876874,15.001499054219323,1.964620292342449,49.76630799999998,77.28681800000015,77.28681800000015,49.76630799999998,90.79517699999997,9.794621493547911,5.679008609625728,20190126-2-1
20190126-2-2,4.944176126937639,6.730853248144072,5.837514687540855,0.8933385606032167,19.552050032504827,14.445327475966925,16.998688754235875,2.5533612782689508,63.66586800000015,128.30403000000013,128.30403000000013,63.66586800000015,129.21594400000015,5.862536771273708,16.294779908232535,5.5428420500630935,6.043995152828749,5.7934186014459215,0.250576551382828,18.900654487735167,18.013582916253146,18.457118701994155,0.4435357857410107,71.39298100000008,72.61597200000017,72.61597200000017,71.39298100000008,72.61597200000017,6.043995152828749,18.900654487735167,20190126-2-2
20190126-2-3,4.766898042973211,6.099582321519987,5.4332401822466,0.6663421392733881,22.166298072415014,18.974475972045663,20.57038702223034,1.5959110501846752,44.19739099999993,40.74362500000007,40.74362500000007,44.19739099999993,44.79691300000013,5.149555859633824,20.89683308265317,4.639145442889006,4.925170101709503,4.7821577722992545,0.1430123294102481,21.549766817201203,20.899382502989205,21.224574660095204,0.3251921571059988,43.371966999999806,34.950608999999986,34.950608999999986,43.371966999999806,43.371966999999806,4.639145442889006,20.899382502989205,20190126-2-3
20190126-2-4,4.2620210050300775,6.355849101136083,5.30893505308308,1.0469140480530026,17.884087432896106,12.946674329998743,15.415380881447424,2.4687065514486815,24.46681999999987,71.36568199999988,71.36568199999988,24.46681999999987,73.40916099999981,6.376951100811013,15.714421803127381,5.373247026629744,6.205055740617424,5.789151383623584,0.4159043569938401,20.194841936935138,10.120581498031148,15.157711717483142,5.037130219451995,35.835802000000065,53.11433299999999,53.11433299999999,35.835802000000065,53.417641,6.100512851655568,18.55010956105884,20190126-2-4
20190127-3-1,5.283747119634182,5.496635560042511,5.3901913398383465,0.10644422020416489,20.40762353956416,13.504889486257325,16.95625651291074,3.4513670266534175,26.523702999999987,24.584510999999992,24.584510999999992,26.523702999999987,26.810639999999974,6.0968392866856345,11.54899929544748,6.050651776493419,6.050651776493419,6.050651776493419,0.0,18.698538417128496,18.698538417128496,18.698538417128496,0.0,38.912903000000036,38.912903000000036,38.912903000000036,38.912903000000036,38.912903000000036,6.050651776493419,18.698538417128496,20190127-3-1
20190127-3-2,6.4919817732877325,6.989091467246107,6.740536620266919,0.24855484697918717,21.213673525004808,15.938453886541634,18.576063705773223,2.637609819231587,22.730316000000013,33.00417500000003,33.00417500000003,22.730316000000013,33.31366400000002,6.7146987511300145,19.926646726330148,5.329850787990049,7.048484827002941,6.189167807496495,0.8593170195064461,19.914865039396773,16.54214358589433,18.22850431264555,1.6863607267512215,42.96085899999997,39.924801,39.924801,42.96085899999997,66.94823799999983,5.671870885113572,8.62605211741446,20190127-3-2
20190127-3-3,6.347961735181639,7.558603033146551,6.953282384164095,0.6053206489824561,18.098041004878908,15.099738324948564,16.598889664913735,1.499151339965172,44.488561,43.67273,43.67273,44.488561,44.488561,6.347961735181639,15.099738324948564,5.304602565496767,5.480498574803149,5.392550570149957,0.08794800465319108,16.866074635172644,16.50201077739391,16.68404270628328,0.18203192888936748,29.472900999999982,29.258187999999905,29.258187999999905,29.472900999999982,35.75064799999973,7.232943316995223,12.846450909382956,20190127-3-3
20190127-3-4,4.122055251339063,6.542760027292942,5.332407639316003,1.2103523879769393,20.273986078592426,18.198592117627875,19.23628909811015,1.0376969804822753,58.90974199999982,47.13649499999997,47.13649499999997,58.90974199999982,71.81196599999998,6.967662920392106,15.181323866480374,4.310018585815605,7.661458405210941,5.985738495513273,1.6757199096976678,20.40272822477534,14.961631761761339,17.682179993268342,2.720548231507001,56.91164900000024,59.66476300000022,59.66476300000022,56.91164900000024,62.49768800000015,7.2891008545897025,14.478812022234099,20190127-3-4
20190127-6-1,7.088538446618516,8.25548148681794,7.672009966718228,0.583471520099712,20.307522566294374,16.796228177908777,18.551875372101577,1.7556471941927985,33.83303199999997,33.221486000000034,33.221486000000034,33.83303199999997,33.83303199999997,7.088538446618516,16.796228177908777,7.246476495975318,9.33386274315716,8.290169619566239,1.0436931235909213,24.228774062643872,23.092249342542747,23.66051170259331,0.5682623600505625,39.93070300000002,38.92288199999999,38.92288199999999,39.93070300000002,43.993890999999934,9.069250674150693,15.838453171002051,20190127-6-1
20190127-6-2,5.233076924229746,5.233076924229746,5.233076924229746,0.0,31.156558988482022,31.156558988482022,31.156558988482022,0.0,42.801619000000024,42.801619000000024,42.801619000000024,42.801619000000024,64.14014300000002,6.63874939373871,31.00035941643442,6.467823465320323,6.761980116796164,6.6149017910582435,0.14707832573792068,29.19899714815273,25.99682328203805,27.59791021509539,1.6010869330573403,37.61282000000017,36.088212,36.088212,37.61282000000017,50.421093000000155,7.566619455970893,23.521573317008052,20190127-6-2
20190310-1-1,5.784359265838567,6.263483508646249,6.023921387242408,0.2395621214038406,16.732109684134606,15.134058927107818,15.933084305621211,0.7990253785133943,35.03281799999968,37.45584299999996,37.45584299999996,35.03281799999968,37.87720300000001,6.250078647757095,16.547035959006838,4.785040858074929,5.78373479920614,5.284387828640535,0.49934697056560573,18.931579386911647,15.500570508380209,17.21607494764593,1.715504439265719,50.24949400000003,45.172136000000016,45.172136000000016,50.24949400000003,66.68837000000042,6.992970997206861,6.900859754086945,20190310-1-1
20190310-1-2,5.5876734606131695,5.939280494886779,5.763476977749974,0.17580351713680464,18.906327174153432,16.93054012199259,17.918433648073012,0.9878935260804216,36.025368999999955,35.30759900000021,35.30759900000021,36.025368999999955,36.025368999999955,5.5876734606131695,16.93054012199259,3.9433829935146743,4.53840332082676,4.240893157170717,0.29751016365604266,20.41795922730937,18.003837257418315,19.210898242363843,1.207060984945528,47.80539600000043,48.202926000000154,48.202926000000154,47.80539600000043,48.29953799999953,4.644385144106766,20.248524909775103,20190310-1-2
20190310-2-1,5.484877356606023,7.044192813365928,6.264535084985976,0.7796577283799526,18.206755397753337,12.831044091225447,15.518899744489392,2.687855653263945,18.789099000000018,30.971709000000033,30.971709000000033,18.789099000000018,37.885426,7.237464705654464,17.878788418379226,5.28719805871166,6.512219483084405,5.899708770898032,0.6125107121863729,18.42285358943711,13.3956234108457,15.909238500141406,2.5136150892957057,43.15393900000001,37.98465299999997,37.98465299999997,43.15393900000001,43.75355099999999,6.154519182686273,13.475550273318836,20190310-2-1
20190310-2-2,5.703599111046231,5.883890718123268,5.7937449145847495,0.09014580353851809,17.851391382976523,17.69182243248324,17.771606907729883,0.07978447524664212,43.56514100000004,43.46860000000004,43.46860000000004,43.56514100000004,43.66321300000004,5.7805774166058255,17.47202656543164,5.627846550127503,6.29163998217846,5.959743266152982,0.3318967160254789,18.98545639434688,15.605758651476707,17.295607522911794,1.6898488714350863,41.053915000000025,42.57758100000001,42.57758100000001,41.053915000000025,42.985505999999994,6.2770707881609225,17.384581554547495,20190310-2-2
20190412-1-1,6.4669332354773585,6.699389631959122,6.5831614337182405,0.11622819824088193,14.542962019558933,14.426517809962466,14.484739914760699,0.058222104798233865,51.968004000000285,52.17957299999993,52.17957299999993,51.968004000000285,52.269078000000285,6.697758861729048,14.438570199933054,6.010790683883723,6.6438138786812475,6.327302281282485,0.3165115973987622,15.88891411312844,15.63511886297179,15.762016488050115,0.1268976250783247,48.52535500000022,44.774339000000104,44.774339000000104,48.52535500000022,48.7182560000001,6.18791551150496,15.710779697893827,20190412-1-1
20190412-1-2,6.328564863985688,7.508532893894928,6.9185488789403085,0.5899840149546196,17.095341894112224,13.879668441105554,15.487505167608889,1.6078367265033346,40.19029700000016,35.53261800000024,35.53261800000024,40.19029700000016,52.479385999999984,7.063351670849414,12.874116240900939,5.432640824599027,5.432640824599027,5.432640824599027,0.0,16.681370920550997,16.681370920550997,16.681370920550997,0.0,62.03542500000003,62.03542500000003,62.03542500000003,62.03542500000003,62.03542500000003,5.432640824599027,16.681370920550997,20190412-1-2
20190412-1-3,7.378915360808013,8.0246164349198,7.701765897863906,0.3228505370558934,14.270605375925177,8.83683482965918,11.553720102792179,2.7168852731329984,41.33801799999986,60.71277800000002,60.71277800000002,41.33801799999986,62.44138800000013,7.8947257829999185,13.925579827273047,7.550257182063067,7.762126155803454,7.6561916689332605,0.10593448687019347,17.583619603914453,17.349400284462426,17.466509944188438,0.1171096597260135,72.80099899999959,73.01687699999991,73.01687699999991,72.80099899999959,73.41063399999963,8.149510763224187,16.123147387391445,20190412-1-3
20190412-1-4,7.2431899552755725,7.5428981025452835,7.393044028910428,0.14985407363485548,19.95798453522906,12.263688405005714,16.110836470117388,3.8471480651116723,60.21491900000001,63.374628999999906,63.374628999999906,60.21491900000001,63.88005800000042,7.407225489819599,18.07973746422766,7.055080268555289,7.8643534516861555,7.459716860120722,0.4046365915654331,16.674096516514098,13.437416606213572,15.055756561363836,1.6183399551502626,53.0059769999998,63.26051199999995,63.26051199999995,53.0059769999998,63.976526000000035,7.160455039389715,16.671690414044733,20190412-1-4
20190412-1-5,6.1591060247677465,6.1591060247677465,6.1591060247677465,0.0,16.078495290118,16.078495290118,16.078495290118,0.0,48.85213000000032,48.85213000000032,48.85213000000032,48.85213000000032,50.674634000000076,6.4734339761394954,15.454102100909555,6.449591182907832,9.281355063214448,7.86547312306114,1.4158819401533083,16.6312563202671,14.926502008780815,15.778879164523957,0.8523771557431417,38.080370000000244,24.671532000000187,24.671532000000187,38.080370000000244,38.788291000000186,6.81941967949539,13.760681294246945,20190412-1-5
20190412-2-1,6.901544093443952,6.901544093443952,6.901544093443952,0.0,14.732767619583688,14.732767619583688,14.732767619583688,0.0,39.523301,39.523301,39.523301,39.523301,43.977546000000025,8.67254399850968,9.590002656840083,7.346989959748178,8.689842360885926,8.018416160317052,0.6714262005688743,9.195339723417023,1.877559407716211,5.536449565566617,3.658890157850406,10.762188000000007,19.400944000000013,19.400944000000013,10.762188000000007,36.156645000000005,10.914162229687527,6.11920691585062,20190412-2-1
20190412-2-2,6.997565069761014,8.552165885990174,7.7748654778755935,0.7773004081145802,12.26931216547384,11.128721919331216,11.699017042402527,0.570295123071312,33.926613999999965,32.69930299999993,32.69930299999993,33.926613999999965,33.926613999999965,6.997565069761014,11.128721919331216,5.737736783521594,5.7651329516255805,5.751434867573588,0.013698084051993131,16.58482448319283,16.262686292426352,16.423755387809592,0.16106909538323855,49.14861400000001,49.245002,49.245002,49.14861400000001,49.245002,5.7651329516255805,16.58482448319283,20190412-2-2
20190412-2-3,7.059300082605356,7.27596861862221,7.167634350613783,0.10833426800842716,17.35890454589164,17.200301023506437,17.279602784699037,0.07930176119260146,37.67238199999996,37.364936,37.364936,37.67238199999996,40.421277999999965,8.935222414195085,10.640457018582932,6.293366357555929,6.372462076411865,6.332914216983896,0.039547859427968124,18.411354726093627,18.330622189759442,18.370988457926536,0.040366268167092656,53.19412599999987,53.31465899999978,53.31465899999978,53.19412599999987,54.61711599999978,7.400711819213193,13.011229521975748,20190412-2-3
20190412-2-4,5.80337124736842,6.738782875109497,6.271077061238959,0.46770581387053856,16.383594253072612,12.431876816307087,14.407735534689849,1.9758587183827627,56.256478000000016,43.67330400000026,43.67330400000026,56.256478000000016,56.85719900000004,7.659853854311284,10.868396937568752,6.33808654725385,6.464554882335361,6.401320714794606,0.0632341675407555,16.968346911786618,16.7015093861567,16.83492814897166,0.13341876281495857,53.91702699999996,54.01214900000002,54.01214900000002,53.91702699999996,55.144904000000004,7.5022243145454865,14.078900502763432,20190412-2-4
20190412-2-5,6.6306229678550075,7.0642241991557855,6.847423583505396,0.216800615650389,16.294853244670882,11.182928786413717,13.7388910155423,2.555962229128583,38.59223500000007,62.6583119999999,62.6583119999999,38.59223500000007,63.25613800000031,6.9031694361674925,14.990803574522245,6.09988980576272,6.9062809344996055,6.503085370131163,0.40319556436844284,17.005946346770013,16.087350068781785,16.5466482077759,0.4592981389941144,46.29487200000007,43.46031100000005,43.46031100000005,46.29487200000007,47.016165,6.5563609932382105,14.217326893526542,20190412-2-5
20190412-2-6,5.913707835135383,8.235827418905561,7.0747676270204725,1.1610597918850893,12.130593320619598,11.460584357341736,11.795588838980667,0.33500448163893104,59.529482000000144,52.33141000000001,52.33141000000001,59.529482000000144,60.55171900000005,7.3753590934591875,10.975722352721627,6.45961160380841,8.383247761751775,7.421429682780093,0.9618180789716826,14.582767181256967,13.53995621878752,14.061361700022243,0.5214054812347237,47.942233999999644,43.2591689999997,43.2591689999997,47.942233999999644,64.70578599999953,7.760366827897571,12.138413996081429,20190412-2-6
20190412-3-1,5.8024443084350565,6.483395916550532,6.142920112492794,0.3404758040577378,15.860603158471182,15.305037351415772,15.582820254943478,0.2777829035277053,61.50073899999995,60.37771599999997,60.37771599999997,61.50073899999995,61.598923000000006,5.830379176258745,15.278858173611171,5.584765841121434,6.154562593018262,5.8696642170698485,0.2848983759484143,16.911345629410285,16.037186618029285,16.474266123719786,0.4370795056904999,60.44675299999993,60.6549399999999,60.6549399999999,60.44675299999993,67.35521699999994,7.279400931228497,12.379379488105194,20190412-3-1
20190412-3-2,6.181048330031487,7.177209727272693,6.67912902865209,0.498080698620603,14.267546181304814,11.253953360903447,12.76074977110413,1.5067964102006837,55.743190999999854,54.736696000000045,54.736696000000045,55.743190999999854,66.90473100000003,7.552060923413527,13.503296664006415,5.141780233375608,5.200036598142399,5.170908415759003,0.029128182383395096,17.57129646238976,17.320254690538405,17.445775576464083,0.12552088592567756,56.567923000000064,56.66501100000005,56.66501100000005,56.567923000000064,56.66501100000005,5.200036598142399,17.57129646238976,20190412-3-2
20190412-3-3,6.214552066750356,6.8662002741031065,6.540376170426731,0.3258241036763754,16.525436329511532,15.469991406515705,15.99771386801362,0.5277224614979135,54.52793999999993,55.12891300000001,55.12891300000001,54.52793999999993,57.270275999999846,7.148487863926142,14.292504582061751,6.026979069110997,6.026979069110997,6.026979069110997,0.0,14.683675113087888,14.683675113087888,14.683675113087888,0.0,48.555152999999905,48.555152999999905,48.555152999999905,48.555152999999905,48.555152999999905,6.026979069110997,14.683675113087888,20190412-3-3
20190412-3-4,6.054904893500867,6.619993511345773,6.33744920242332,0.2825443089224531,16.695864040732292,16.07396485797552,16.384914449353907,0.31094959137838707,38.59538399999974,38.89719799999989,38.89719799999989,38.59538399999974,42.446508,6.983326971467799,13.322434717362206,5.539616493241487,5.581639960686332,5.56062822696391,0.021011733722422488,17.474430194743185,17.357227795064038,17.415828994903613,0.05860119983957368,63.48522800000024,63.38797700000021,63.38797700000021,63.48522800000024,64.50722000000019,6.214260731540327,15.554905768697262,20190412-3-4
