,Unnamed: 0,timestamp,thrustinput,Position state,Position state2,PA-ON,PA-ON2,Airspeed[m/s],Differential Pressure[Pa],GPS Altitude[m],GPS Noise Magitude/ms,GPS Satellite Num.,Horizontal accuracy[m],Vertical accuracy[m],Groundspeed[m/s],Roll control,Pitch control,Yaw control,Thrust control,Roll Angular Rate[deg/s],Pitch Angular Rate[deg/s],Yaw Angular Rate[deg/s],Roll angle[deg],Pitch angle[deg],Yaw angle[deg],Local X[m],Local Y[m],X-velocity[m/s],Y-Velocity[m/s],Z-Velocity[m/s],altitude set position,altitude(Tecs),airspeed set position,airspeed(Tecs),X-acceleration[m/s^2],Y-acceleration[m/s^2],Z-acceleration[m/s^2],Battery Voltage[V],Battery Current[A],Inst. power[Ws],Body_Uvelocity[m/s],Body_Vvelocity[m/s],Body_Wvelocity[m/s],A.O.A.[deg]
1723,1723,0.0,0.0,2500.0,-2500.0,0.0,0.0,13.388437073849854,109.79078857575195,87.07411642647119,110.0,10.0,1.475,1.6144841879097815,14.201765631332998,0.11188127702536768,-0.2703434438805087,-0.10870611267242533,0.1232941161780315,-0.3386965143499182,0.12704068889227774,-0.1616969652892908,-7.991655347137237,5.620898204437188,-15.611624232463978,270.41329799676714,-5.765133301131513,-14.817644181618755,1.7621424687680345,1.4906958797598384,166.2518,167.006312965937,6.1358082406913965,13.081336475859265,-0.081378791395883,-2.126555588407689,-11.857505261632669,16.084317156297892,1.5574729000000002e-19,2.505088808593904e-18,-14.820319592208321,-2.2849698996059296,0.26326077574457063,-1.0176666603605429
1724,1724,0.09850299999996537,0.0,2500.0,-2500.0,0.0,0.0,13.333617923728815,108.8935493008475,87.26593945215876,110.0,10.0,1.475,1.6135088522614092,14.110576307676336,0.15324075530573966,-0.2565273481814074,-0.11242024068496237,0.08888431943881593,-0.017829398620082305,0.12793352728971652,-0.2035449505141123,-8.677654935555697,6.136381733275978,-16.818440890161227,269.0658262123106,-5.584628447328364,-14.620504229711482,2.009799085299269,1.6432998731926618,166.2518,167.2178763185561,6.013746985886398,13.187090827836453,0.4482047432103766,-2.242695024270197,-11.412253297904895,16.08954570003092,1.5574729000000002e-19,2.505903140110969e-18,-14.66878898357471,-2.30466934957876,0.3213907391206341,-1.2551402335397022
1725,1725,0.21482499999990523,0.0,2500.0,-2500.0,0.0,0.0,13.231392414237408,107.2302304103722,87.50675131981953,110.0,10.0,1.4753312545877009,1.6120063687254835,13.909976682913893,0.13375425996133575,-0.2721115417174018,-0.11234967173857824,0.07512450351998914,0.17702091383605886,0.12392091600897408,-0.17557280699628466,-8.852828070438363,6.887722144636093,-18.15049311557047,267.4943818944932,-5.349457139611039,-14.372099432399311,2.306480939948,1.7748549801969362,166.2518,167.47345549298942,6.00011147803104,13.249536182799725,1.106765575948773,-2.8428645279147933,-11.467770851145588,16.096253292375483,1.5574729000000002e-19,2.50694782944106e-18,-14.484568443728303,-2.2747626808549657,0.31170134359702817,-1.2327889149960607
1726,1726,0.3093499999999665,0.0,2500.0,-2500.0,0.0,0.0,13.133079970188508,105.64266090530458,87.71199397986244,110.0,10.0,1.4758134871099549,1.6105598640324434,13.687207534547445,0.11157309316035258,-0.28850790724103964,-0.11373408059069112,0.06542485387791698,0.18207098863939986,0.0976043291391918,-0.15779326276090885,-7.821932633463379,7.449999155870818,-19.139920228913173,266.2334817515612,-5.133554953447566,-14.163238633241244,2.5592863224341853,1.9648423118262648,166.2518,167.68456115928274,6.0,13.255008223465358,0.8686169087688381,-2.274674521810469,-13.427331844663591,16.101866785235504,1.5574729000000002e-19,2.5078221157414416e-18,-14.354162141931706,-2.2214161395173435,0.39220052234170977,-1.5651101677312542
1727,1727,0.4060769999999536,0.0,2500.0,-2500.0,0.0,0.0,13.024129797849096,103.89714051239037,87.94753717177205,110.0,10.296321841345444,1.4780743232572342,1.6123706450985793,13.529883758077094,0.10978696574280114,-0.2992116205739866,-0.11565692469507055,0.05596158870936422,0.030696203328802376,0.05287150488659159,-0.15286518237772975,-7.539096987387907,7.975795058568282,-20.161684548321894,264.9679911809447,-4.894601389743784,-13.943207103803033,2.7900202422698266,2.191996613374711,166.2518,167.91392721747818,6.0,13.226806010936327,1.3981419035869025,-1.794729122614069,-11.604898387349756,16.10761104679457,1.5574729000000002e-19,2.508716768912317e-18,-14.218693732894948,-2.194626684972101,0.5227355305117563,-2.1054716831192253
1728,1728,0.501358999999951,0.0,2500.0,-2500.0,0.0,0.0,12.833664793219324,100.88058015417174,88.18438489481072,110.0,10.765732922131004,1.4813601538816248,1.6161258868037558,13.41722509868856,0.09666602101375474,-0.30322168224027085,-0.11709947240424012,0.0476633551761916,0.15720638379680266,-0.009268259425421149,-0.132265226071296,-6.774802314928751,7.970599790575759,-20.882900166272414,263.74263038187,-4.641317184209057,-13.723791143263615,2.9802975107971834,2.331364006102929,166.2518,168.16073430315154,6.0,13.153723904752395,1.3695580182039646,-1.5288149656846215,-10.086081728507967,16.11174389248,1.5574729000000002e-19,2.5093604484278115e-18,-14.073785873554092,-2.132331265402973,0.6730793806828672,-2.73808670388713
1729,1729,0.6246539999999072,0.0,2500.0,-2500.0,0.0,0.0,12.586634055777287,97.0343284146568,88.52651305961291,110.0,11.0,1.4871661320087597,1.6214086603478184,13.336761906849885,0.08451182524918376,-0.31822033862217103,-0.12174772371003915,0.03957210813465424,0.1789157635194518,0.04281093364052512,-0.10747079670323373,-5.5513433633383835,8.108192311119726,-21.7305862409527,262.1712537236176,-4.293145600955237,-13.451016198736765,3.1899202988137025,2.409833559128012,166.2518,168.49598913234706,6.0,12.986594041583373,1.1028491209059237,-1.4542761203204488,-9.459122730858187,16.116385538246664,1.5574729000000002e-19,2.51008337217711e-18,-13.879341087483626,-2.040941396143866,0.7391475451521266,-3.0484203758613475
1730,1730,0.7188170000000014,0.0,2500.0,-2500.0,0.0,0.0,12.471165136969663,95.26210881678273,88.78100129009262,110.0,11.0,1.492345428951593,1.6256462754981529,13.30662808948992,0.09701757190266762,-0.33585678673413577,-0.12812674879816036,0.03546026624451107,0.16390016936832585,0.053690709511044855,-0.08888170680563975,-4.827083179396769,8.462239270917182,-22.324530460631557,260.9912930738372,-4.012947490611493,-13.246296539964767,3.3157899791703067,2.3443871420605547,166.2518,168.75938197633204,6.0,12.826251448144955,0.21308196524813805,-0.2288169300981524,-9.166200435261011,16.119930461320003,1.5574729000000002e-19,2.51063548433904e-18,-13.710839003942736,-1.970784140839383,0.6182304642489285,-2.5817544309013285
1731,1731,0.8148429999999394,0.0,2500.0,-2500.0,0.0,0.0,12.353452042171858,93.47227541117569,89.02684412648041,110.0,10.336345841279767,1.6409994629738236,1.7866088919895082,13.190484507525403,0.12778158495867387,-0.3566518152374892,-0.13519813066071668,0.032920631430155084,0.14883466881276555,0.0896955396722858,-0.07631683096150603,-4.1368354400309935,8.841649247377257,-22.853496906536908,259.8026668371957,-3.7209457529913745,-13.035476503950612,3.4283506678871207,2.246096858112262,166.2518,169.01079189468456,6.0,12.651815971882758,0.3101457564363695,-1.4706378242005056,-9.607792554825128,16.122173680331866,1.5574729000000002e-19,2.5109848596210144e-18,-13.530363496018785,-1.8929711939193783,0.4605529962298451,-1.949508518918872
1732,1732,0.9258019999999476,0.0,2500.0,-2500.0,0.0,0.0,12.320746007410051,92.97797582805106,89.30100516769045,110.0,9.219648059901603,1.8883479657141973,2.055174652576067,13.011254513614206,0.1743253982149726,-0.3751048184805748,-0.1331536088054154,0.03097645922654612,0.06413229562126198,0.022218529543053568,-0.116844758193325,-3.5312495879424475,9.276265997341246,-23.578200315935256,258.4328319257097,-3.366339271266246,-12.792495114887656,3.5639812041504757,2.2156713476337955,166.2518,169.28426045800185,6.0,12.4563715506529,0.5959015047564786,-1.7538584806442716,-8.669392611603168,16.124531433522677,1.5574729000000002e-19,2.5113520732909724e-18,-13.335292837225126,-1.8304842922452265,0.3651382913572825,-1.5684437712971775
